
1;
1_1;¿Qué pasó contigo?
1_2;Dímelo, rrr
1_3;O-O-Ovy On The Drums (mmh)
1_4;Ya no tiene excusa (no)
1_5;Hoy salió con su amiga (ah), dizque pa matar la tusa (la tusa)
1_6;Que porque un hombre le pagó mal (ah)
1_7;Está dura y abusa (eh)
1_8;Se cansó de ser buena, ahora es ella quien los usa (oh-oh)
1_9;Que porque un hombre le pagó mal (mal)
1_10;Ya no se le ve sentimental (-tal)
2;
2_1;Dice que por otro man no llora (llora), no
2_2;Pero si le ponen la canción (ah)
2_3;Le da una depresión tonta
2_4;Llorando, lo comienza a llamar
2_5;Pero él la dejó en buzón (-zón)
2_6;Será porque con otra está (con otra está)
2_7;Fingiendo que a otra se puede amar
2_8;Pero hice todo este llanto por nada
2_9;Ahora soy una chica mala
2_10;And now you kicking and screaming, a big toddler
3;
3_1;Don't try to get your friends to come holler, holler
3_2;Ayy-yo, I used to lay low
3_3;I wasn't in the clubs, I was on my JO (wuh)
3_4;Until I realized you a epic fail, yo
3_5;So don't tell your guys that I'm still your bae, yo
3_6;Cause it's a new day, I'm in a new place (uh-huh)
3_7;Getting some new D, sitting on a new face (okay)
3_8;Cause I know I'm the baddest bitch you ever really met (ooh)
3_9;You searching for a badder bitch, and you ain't met her yet (ooh)
3_10;Ayy-yo, tell 'em to back off, he wanna slack off
4;
4_1;Ain't no more booty calls, you gotta jack off
4_2;It's me and KAROL G, we let them rats talk
4_3;Don't run up on us 'cause they letting the macks off (rrr)
4_4;Pero si le ponen la canción (ah)
4_5;Le da una depresión tonta (tonta)
4_6;Llorando, lo comienza a llamar
4_7;Pero él la dejó en buzón (no)
4_8;Será porque con otra está (con otra está)
4_9;Fingiendo que a otra se puede amar, eh-uh
4_10;Un-un shot pa la pena profunda (eh)
5;
5_1;Y seguimo' gastando la funda (la funda)
5_2;Otro shot pa la mente (yeah, yeah)
5_3;"Pa que el recuerdo no la atormente (ah; oh)"
5_4;Ya no le copia nada
5_5;Su ex ya no vale nada
5_6;Se va pa la disco y solo quiere perrear (perrear)
5_7;Pero se confunde cuando empieza a tomar (tomar)
5_8;Ella se cura con rumba (ah)
5_9;Y el amor pa la tumba (eh)
5_10;To' los hombre' le zumban (le zumban)
6;
6_1;Pero si le ponen la canción (oh)
6_2;Le da una depresión tonta (tonta)
6_3;Llorando, lo comienza a llamar
6_4;Pero él la dejó en buzón (oh)
6_5;Será porque con otra está (con otra está)
6_6;Fingiendo que a otra se puede amar
6_7;"Hey, KAROL G (ah; KAROL G)"
6_8;Nicki Minaj (ah, ajá), hey
6_9;The Queen with The Queen (ah)
6_10;O-O-Ovy On The Drums
